,FlyFrom,FlyTo,DepartTimeUTC,ArrivalTimeUTC,Price,DataDate
541832,ATL,JFK,2019-09-12 14:45:00,2019-09-12 16:55:00,142,20190704
541859,ATL,JFK,2019-09-12 23:10:00,2019-09-13 01:32:00,142,20190704
541860,ATL,JFK,2019-09-13 16:10:00,2019-09-13 18:34:00,142,20190704
541948,ATL,JFK,2019-09-12 17:49:00,2019-09-12 20:09:00,142,20190704
541950,ATL,JFK,2019-09-13 17:49:00,2019-09-13 20:09:00,142,20190704
541968,ATL,JFK,2019-09-14 16:10:00,2019-09-14 18:32:00,142,20190704
541994,ATL,JFK,2019-09-14 21:45:00,2019-09-15 00:13:00,142,20190704
542001,ATL,JFK,2019-09-11 21:45:00,2019-09-12 00:15:00,142,20190704
542298,ATL,JFK,2019-09-14 19:05:00,2019-09-14 21:31:00,180,20190704
542343,ATL,JFK,2019-09-09 23:10:00,2019-09-10 01:32:00,186,20190704
542354,ATL,JFK,2019-09-10 21:45:00,2019-09-11 00:15:00,186,20190704
